pump_intensity_w_cm2,final_relative_deg,abs_final_relative_deg,min_relative_deg,max_relative_deg,span_relative_deg,variance_relative_deg2,pump1_frequency_inv_um,pump2_frequency_inv_um,pump1_cold_frequency_inv_um,pump2_cold_frequency_inv_um,summary_final_relative_unwrapped_deg,summary_mean_relative_deg,summary_td_final_relative_deg,summary_td_final_relative_unwrapped_deg,pump_ratio_tail_weighted,pump_ratio_final,pump1_purity_tail,pump2_purity_tail,summary_path
3792690190.7322536,0.0031897839231476155,0.0031897839231476155,-4.801425619479147,4.596430363590741,9.397855983069888,5.385249025544169e-10,0.535,0.511637,0.535,0.511637,360.00318978392335,0.0031020449284655137,25.2841922129438,-20496.16118401096,0.09311197519377566,0.09311274244761436,0.9999547500685659,0.999962006790516,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d_resonant/dim1/I_10_3.79e9/faraday_summary.json
5455594781.168514,0.004097021893528563,0.004097021893528563,-5.781382132985414,5.511507838641734,11.292889971627147,7.566279577175169e-10,0.535,0.511637,0.535,0.511637,180.00409702189344,0.003989492621068455,41.1154937722907,-19218.457727647692,0.09308209876518914,0.09308105119825365,0.9999547612690267,0.9999620132278723,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d_resonant/dim1/I_11_5.46e9/faraday_summary.json
7847599703.514623,0.005298628221098056,0.005298628221098056,-6.8016216972009005,6.56195644088848,13.36357813808938,1.060816578061309e-09,0.535,0.511637,0.535,0.511637,360.005298628221,0.005172630972640506,50.439847482714576,-17949.07574838369,0.09303905652733839,0.09303719775878659,0.9999547766107015,0.9999620191024015,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d_resonant/dim1/I_12_7.85e9/faraday_summary.json
11288378916.846884,0.006918657892612146,0.006918657892612146,-8.147137940587442,7.9554568325852415,16.102594773172683,1.4975870024526907e-09,0.535,0.511637,0.535,0.511637,180.0069186578929,0.006761861085196517,61.75479210698959,-17038.003472799017,0.09297724686315456,0.0929752093595058,0.9999547967006173,0.9999620260377413,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d_resonant/dim1/I_13_1.13e10/faraday_summary.json
16237767391.887177,0.009114200233767633,0.009114200233767633,-9.747642035017407,9.465761166866272,19.21340320188368,2.083178813934766e-09,0.535,0.511637,0.535,0.511637,0.009114200232714465,0.008919910803500863,72.55672979426149,-15227.799528813288,0.09288852749349369,0.09288651208823762,0.9999548206450376,0.9999620354065538,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d_resonant/dim1/I_14_1.62e10/faraday_summary.json
23357214690.901215,0.012106296939606409,0.012106296939606409,-11.656693822648094,11.231549584993047,22.88824340764114,2.8865758851194204e-09,0.535,0.511637,0.535,0.511637,-359.987893703059,0.011877418523049865,79.29950256977037,-14140.593895576667,0.09276137372809003,0.09275969417596423,0.9999548443883328,0.9999620479358166,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d_resonant/dim1/I_15_2.34e10/faraday_summary.json
33598182862.83788,0.01624874159023193,0.01624874159023193,-14.056456416468876,13.39558936747315,27.452045783942026,3.984715292836118e-09,0.535,0.511637,0.535,0.511637,-1439.9837512584106,0.01595962727979426,83.81695309304544,-12696.050805946548,0.0925793946735509,0.09257842343998068,0.999954855657515,0.9999620643270868,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d_resonant/dim1/I_16_3.36e10/faraday_summary.json
48329302385.71752,0.022018874058503002,0.022018874058503002,-17.52861333611358,15.926239759903552,33.45485309601713,5.6574620055224594e-09,0.535,0.511637,0.535,0.511637,-2159.9779811259427,0.021660242027722175,-88.00672328285721,-11068.252439423419,0.092319606772365,0.09231872423298099,0.9999548225686355,0.9999620861934408,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d_resonant/dim1/I_17_4.83e10/faraday_summary.json
69519279617.7559,0.030144611352540096,0.030144611352540096,-20.92927295580415,18.980061905209197,39.90933486101335,8.135932007909409e-09,0.535,0.511637,0.535,0.511637,-2519.9698553886433,0.029721584763487754,-81.84930169791666,-9621.827482622437,0.09194986499782268,0.09194870847469362,0.9999546701819427,0.9999621110355171,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d_resonant/dim1/I_18_6.95e10/faraday_summary.json
100000000000.0,0.04176191340766877,0.04176191340766877,-24.837240966391235,22.650540746117485,47.48778171250872,1.2048638576506754e-08,0.535,0.511637,0.535,0.511637,-2879.9582380865995,0.0412440279877594,-77.46690622849705,-8177.3957973208,0.09142616457041464,0.09142444474244074,0.9999542236426449,0.9999621295978983,/Users/phi/nikita/code/faraday_chi3/scripts/meep_project/SiC_optimizations/sic_L3p2um/sweep_1d_resonant/dim1/I_19_1.00e11/faraday_summary.json
