wavelength_nm,R
9.274521183981426020e+02,1.309654396569683577e-01
9.261978361669238211e+02,1.467965185979836495e-01
9.249469419255254934e+02,1.639009889869552927e-01
9.236994219653176970e+02,1.808934752269878155e-01
9.224552626515295515e+02,1.965428349887320403e-01
9.212144504227514972e+02,2.098397301699718442e-01
9.199769717904430308e+02,2.200107789899750643e-01
9.187428133384435114e+02,2.265006613859533446e-01
9.175119617224877402e+02,2.289431423996126924e-01
9.162844036697246111e+02,2.271373948141496013e-01
9.150601259782398529e+02,2.210410356497107265e-01
9.138391155165838882e+02,2.107874689925251510e-01
9.126213592233007148e+02,1.967320525725259617e-01
9.114068441064636090e+02,1.795274369997664765e-01
9.101955572432120789e+02,1.602202265739431641e-01
9.089874857792945022e+02,1.403459719099627578e-01
9.077826169286116738e+02,1.219767671253494667e-01
9.065809379727683108e+02,1.076533680752157773e-01
9.053824362606229670e+02,1.001280829363276476e-01
9.041870992078457903e+02,1.018918846897469282e-01
9.029949142964774182e+02,1.145710141508262114e-01
9.018058690744917385e+02,1.384046358307887692e-01
9.006199511553634238e+02,1.720563375572713438e-01
8.994371482176356949e+02,2.128833658353327385e-01
8.982574480044968368e+02,2.575522968532494295e-01
8.970808383233529639e+02,3.027272769723142742e-01
8.959073070454119261e+02,3.455782723741988582e-01
8.947368421052628946e+02,3.840059850722444268e-01
8.935694315004657255e+02,4.166241807556544940e-01
8.924050632911389584e+02,4.426032158861795685e-01
8.912437255995536134e+02,4.614698631210226720e-01
8.900854066097286932e+02,4.729212827173780997e-01
8.889300945670311194e+02,4.766772866658258168e-01
8.877777777777777146e+02,4.723766433992124258e-01
8.866284446088400273e+02,4.595203451946508477e-01
8.854820834872550677e+02,4.374710872040814547e-01
8.843386828998336568e+02,4.055477157571953373e-01
8.831982313927779842e+02,3.632767343282393147e-01
8.820607175712967774e+02,3.109098721319497050e-01
8.809261300992280894e+02,2.503089820973868895e-01
8.797944576986600396e+02,1.861384712476846226e-01
8.786656891495598529e+02,1.268040836870699684e-01
8.775398132894011951e+02,8.381845491664957626e-02
8.764168190127967364e+02,6.827518058881582030e-02
8.752966952711335580e+02,8.539189691492762857e-02
8.741794310722096952e+02,1.312719662100429729e-01
8.730650154798760241e+02,1.950837601416662570e-01
8.719534376136773517e+02,2.645612939595751723e-01
8.708446866485012379e+02,3.302690713463530825e-01
8.697387518142231784e+02,3.867734496876373274e-01
8.686356223953613380e+02,4.317962693341008129e-01
8.675352877307270774e+02,4.648841650593388275e-01
8.664377372130849153e+02,4.863590579836049588e-01
8.653429602888083991e+02,4.966788470397678346e-01
8.642509464575443872e+02,4.961069343038501667e-01
8.631616852718758537e+02,4.845790263676469922e-01
8.620751663369895823e+02,4.617031480330516802e-01
8.609913793103445414e+02,4.268925001421677856e-01
8.599103139013450345e+02,3.797023737432064783e-01
8.588319598710138507e+02,3.204844266021693033e-01
8.577563070316690528e+02,2.514412541198823847e-01
8.566833452466046310e+02,1.778945735751021051e-01
8.556130644297694516e+02,1.089344063421286979e-01
8.545454545454543904e+02,5.597884572131341802e-02
