wavelength,n,k
1418,2.56488467,4.13673832e-005
1420,2.56475494,4.11564516e-005
1422,2.56462579,4.09472622e-005
1424,2.56449722,4.07397964e-005
1426,2.56436922,4.0534036e-005
1428,2.56424178,4.03299628e-005
1430,2.56411491,4.0127559e-005
1432,2.5639886,3.9926807e-005
1434,2.56386284,3.97276894e-005
1436,2.56373764,3.95301891e-005
1438,2.56361299,3.93342892e-005
1440,2.56348889,3.91399727e-005
1442,2.56336533,3.89472234e-005
1444,2.56324231,3.87560248e-005
1446,2.56311983,3.85663609e-005
1448,2.56299789,3.83782156e-005
1450,2.56287647,3.81915735e-005
1452,2.56275559,3.80064188e-005
1454,2.56263523,3.78227364e-005
1456,2.56251539,3.7640511e-005
1458,2.56239607,3.74597278e-005
1460,2.56227726,3.7280372e-005
1462,2.56215897,3.71024291e-005
1464,2.56204119,3.69258845e-005
1466,2.56192392,3.67507242e-005
1468,2.56180715,3.65769341e-005
1470,2.56169088,3.64045004e-005
1472,2.56157511,3.62334093e-005
1474,2.56145983,3.60636473e-005
1476,2.56134505,3.5895201e-005
1478,2.56123075,3.57280573e-005
1480,2.56111695,3.55622031e-005
1482,2.56100362,3.53976256e-005
1484,2.56089078,3.52343119e-005
1486,2.56077842,3.50722496e-005
1488,2.56066653,3.49114262e-005
1490,2.56055511,3.47518295e-005
1492,2.56044417,3.45934473e-005
1494,2.56033369,3.44362677e-005
1496,2.56022368,3.42802787e-005
1498,2.56011413,3.41254688e-005
1500,2.56000504,3.39718264e-005
1502,2.55989641,3.381934e-005
1504,2.55978823,3.36679984e-005
1506,2.55968051,3.35177904e-005
1508,2.55957323,3.3368705e-005
1510,2.5594664,3.32207314e-005
1512,2.55936001,3.30738587e-005
1514,2.55925407,3.29280764e-005
1516,2.55914857,3.27833738e-005
1518,2.5590435,3.26397408e-005
1520,2.55893887,3.24971669e-005
1522,2.55883467,3.2355642e-005
1524,2.55873089,3.22151562e-005
1526,2.55862755,3.20756995e-005
1528,2.55852463,3.19372621e-005
1530,2.55842214,3.17998343e-005
1532,2.55832006,3.16634066e-005
1534,2.5582184,3.15279694e-005
1536,2.55811716,3.13935136e-005
1538,2.55801633,3.12600297e-005
1540,2.55791591,3.11275088e-005
1542,2.5578159,3.09959416e-005
1544,2.5577163,3.08653194e-005
1546,2.5576171,3.07356333e-005
1548,2.5575183,3.06068745e-005
1550,2.55741991,3.04790344e-005
1552,2.55732191,3.03521045e-005
1554,2.55722431,3.02260764e-005
1556,2.5571271,3.01009418e-005
1558,2.55703028,2.99766922e-005
1560,2.55693385,2.98533198e-005
1562,2.5568378,2.97308162e-005
1564,2.55674215,2.96091737e-005
1566,2.55664687,2.94883842e-005
1568,2.55655198,2.93684401e-005
1570,2.55645746,2.92493336e-005
1572,2.55636332,2.9131057e-005
1574,2.55626956,2.90136029e-005
1576,2.55617617,2.88969638e-005
1578,2.55608315,2.87811323e-005
1580,2.5559905,2.86661011e-005
1582,2.55589821,2.8551863e-005
1584,2.55580629,2.84384109e-005
1586,2.55571473,2.83257377e-005
1588,2.55562354,2.82138365e-005
1590,2.5555327,2.81027003e-005
1592,2.55544222,2.79923224e-005
1594,2.55535209,2.78826959e-005
1596,2.55526232,2.77738142e-005
1598,2.5551729,2.76656706e-005
1600,2.55508383,2.75582588e-005
1602,2.55499511,2.74515721e-005
1604,2.55490673,2.73456042e-005
1606,2.5548187,2.72403488e-005
1608,2.554731,2.71357996e-005
1610,2.55464365,2.70319504e-005
1612,2.55455664,2.69287951e-005
1614,2.55446997,2.68263276e-005
1616,2.55438363,2.6724542e-005
1618,2.55429762,2.66234323e-005
1620,2.55421195,2.65229926e-005
1622,2.5541266,2.64232172e-005
1624,2.55404159,2.63241003e-005
1626,2.5539569,2.62256361e-005
1628,2.55387253,2.61278192e-005
1630,2.55378849,2.60306439e-005
1632,2.55370477,2.59341047e-005
1634,2.55362137,2.58381962e-005
1636,2.55353829,2.57429129e-005
1638,2.55345553,2.56482496e-005
1640,2.55337308,2.55542009e-005
1642,2.55329094,2.54607617e-005
1644,2.55320912,2.53679268e-005
1646,2.5531276,2.5275691e-005
1648,2.5530464,2.51840493e-005
1650,2.5529655,2.50929966e-005
1652,2.5528849,2.50025281e-005
1654,2.55280461,2.49126388e-005
1656,2.55272463,2.48233238e-005
1658,2.55264494,2.47345784e-005
1660,2.55256555,2.46463977e-005
1662,2.55248646,2.45587771e-005
1664,2.55240767,2.4471712e-005
